gmDate,gmTime,seasTyp,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamMin,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptMin,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,poss,pace
2015-10-27,20:00,Regular,Smith,Michael,Zarba,Zach,Roe,Eli,DET,East,Central,Away,Win,240,0,106,23,15,5,3,15,96,37,0.3854,67,25,0.3731,29,12,0.4138,26,20,0.7692,23,36,59,25,23,34,24,0,0,0,0,59.596,62.1622,0.4933,0.4479,41.0714,83.7209,12.2509,5.2457,3.1474,4.4776,1.1042,82.75,68.9583,111.2081,98.6185,12.5896,0.4205,15.8141,1.5333,33.3333,ATL,East,Southeast,Home,Loss,240,0,94,22,15,9,4,25,82,37,0.4512,55,29,0.5273,27,8,0.2963,15,12,0.8,7,33,40,25,18,23,28,0,0,0,0,40.404,59.4595,0.5305,0.5,17.5,82.5,14.4788,9.4422,4.1965,7.2727,1.1463,66.125,55.1042,98.6185,111.2081,-12.5896,0.4111,17.5159,1.4667,60.0,95.3168,95.3168
2015-10-27,20:00,Regular,Smith,Michael,Zarba,Zach,Roe,Eli,ATL,East,Southeast,Home,Loss,240,0,94,22,15,9,4,25,82,37,0.4512,55,29,0.5273,27,8,0.2963,15,12,0.8,7,33,40,25,18,23,28,0,0,0,0,40.404,59.4595,0.5305,0.5,16.2791,58.9286,14.4788,9.4422,4.1965,7.2727,1.1463,66.125,55.1042,98.6185,111.2081,-12.5896,0.4111,17.5159,1.4667,60.0,DET,East,Central,Away,Win,240,0,106,23,15,5,3,15,96,37,0.3854,67,25,0.3731,29,12,0.4138,26,20,0.7692,23,36,59,25,23,34,24,0,0,0,0,59.596,62.1622,0.4933,0.4479,38.9831,61.0169,12.2509,5.2457,3.1474,4.4776,1.1042,82.75,68.9583,111.2081,98.6185,12.5896,0.4205,15.8141,1.5333,33.3333,95.3168,95.3168
2015-10-27,20:00,Regular,Foster,Scott,Ayotte,Mark,Taylor,Ben,CLE,East,Central,Away,Loss,240,0,95,26,11,5,7,21,94,38,0.4043,65,29,0.4462,29,9,0.3103,17,10,0.5882,11,39,50,17,23,28,27,0,0,0,0,51.5464,68.4211,0.4681,0.4521,21.5686,84.7826,9.7795,5.0017,7.0024,10.7692,1.0106,74.875,62.3958,95.032,97.0327,-2.0007,0.4043,18.7753,2.3636,45.4545,CHI,East,Central,Home,Win,240,0,97,13,13,6,10,22,87,37,0.4253,68,30,0.4412,19,7,0.3684,23,16,0.6957,7,40,47,26,20,25,26,0,0,0,0,48.4536,35.1351,0.4994,0.4655,14.8936,85.1064,11.8053,6.002,10.0034,14.7059,1.1149,65.125,54.2708,97.0327,95.032,2.0007,0.3978,10.5588,1.0,46.1538,99.9663,99.9663
2015-10-27,20:00,Regular,Foster,Scott,Ayotte,Mark,Taylor,Ben,CHI,East,Central,Home,Win,240,0,97,13,13,6,10,22,87,37,0.4253,68,30,0.4412,19,7,0.3684,23,16,0.6957,7,40,47,26,20,25,26,0,0,0,0,48.4536,35.1351,0.4994,0.4655,15.2174,78.4314,11.8053,6.002,10.0034,14.7059,1.1149,65.125,54.2708,97.0327,95.032,2.0007,0.3978,10.5588,1.0,46.1538,CLE,East,Central,Away,Loss,240,0,95,26,11,5,7,21,94,38,0.4043,65,29,0.4462,29,9,0.3103,17,10,0.5882,11,39,50,17,23,28,27,0,0,0,0,51.5464,68.4211,0.4681,0.4521,22.0,78.0,9.7795,5.0017,7.0024,10.7692,1.0106,74.875,62.3958,95.032,97.0327,-2.0007,0.4043,18.7753,2.3636,45.4545,99.9663,99.9663
2015-10-27,22:30,Regular,Collins,Derrick,Twardoski,Scott,Capers,James,NO,West,Southwest,Away,Loss,240,0,95,21,19,9,3,26,83,35,0.4217,65,29,0.4462,18,6,0.3333,27,19,0.7037,8,25,33,35,14,26,20,0,0,0,0,37.0787,60.0,0.5006,0.4578,18.6047,54.3478,16.6842,8.9471,2.9824,4.6154,1.1446,50.375,41.9792,94.4418,110.3478,-15.906,0.3723,15.5694,1.1053,47.3684,GS,West,Pacific,Home,Win,240,0,111,29,20,8,7,29,96,41,0.4271,66,32,0.4848,30,9,0.3,22,20,0.9091,21,35,56,39,20,35,17,0,0,0,0,62.9213,70.7317,0.5252,0.474,37.5,62.5,15.9134,7.953,6.9589,10.6061,1.1563,87.5,72.9167,110.3478,94.4418,15.906,0.4316,18.7484,1.45,40.0,100.591,100.591
2015-10-27,22:30,Regular,Collins,Derrick,Twardoski,Scott,Capers,James,GS,West,Pacific,Home,Win,240,0,111,29,20,8,7,29,96,41,0.4271,66,32,0.4848,30,9,0.3,22,20,0.9091,21,35,56,39,20,35,17,0,0,0,0,62.9213,70.7317,0.5252,0.474,45.6522,81.3953,15.9134,7.953,6.9589,10.6061,1.1563,87.5,72.9167,110.3478,94.4418,15.906,0.4316,18.7484,1.45,40.0,NO,West,Southwest,Away,Loss,240,0,95,21,19,9,3,26,83,35,0.4217,65,29,0.4462,18,6,0.3333,27,19,0.7037,8,25,33,35,14,26,20,0,0,0,0,37.0787,60.0,0.5006,0.4578,24.2424,75.7576,16.6842,8.9471,2.9824,4.6154,1.1446,50.375,41.9792,94.4418,110.3478,-15.906,0.3723,15.5694,1.1053,47.3684,100.591,100.591
2015-10-28,19:00,Regular,Phillips,Jason,Lewis,Eric,Taylor,Dedric,WAS,East,Southeast,Away,Win,240,0,88,17,18,8,9,14,84,33,0.3929,56,26,0.4643,28,7,0.25,25,15,0.6,15,34,49,31,22,12,23,0,0,0,0,46.6667,51.5152,0.4632,0.4345,27.7778,66.6667,15.9292,8.1979,9.2226,16.0714,1.0476,65.125,54.2708,90.1765,89.1518,1.0247,0.3793,13.0769,0.9444,44.4444,ORL,East,Southeast,Home,Loss,240,0,87,20,16,9,6,22,100,37,0.37,74,32,0.4324,26,5,0.1923,12,8,0.6667,17,39,56,29,22,16,20,0,0,0,0,53.3333,54.0541,0.4132,0.395,30.3571,69.6429,13.1926,9.2226,6.1484,8.1081,0.87,61.75,51.4583,89.1518,90.1765,-1.0247,0.3737,14.1563,1.25,56.25,97.5864,97.5864
2015-10-28,19:00,Regular,Phillips,Jason,Lewis,Eric,Taylor,Dedric,ORL,East,Southeast,Home,Loss,240,0,87,20,16,9,6,22,100,37,0.37,74,32,0.4324,26,5,0.1923,12,8,0.6667,17,39,56,29,22,16,20,0,0,0,0,53.3333,54.0541,0.4132,0.395,33.3333,72.2222,13.1926,9.2226,6.1484,8.1081,0.87,61.75,51.4583,89.1518,90.1765,-1.0247,0.3737,14.1563,1.25,56.25,WAS,East,Southeast,Away,Win,240,0,88,17,18,8,9,14,84,33,0.3929,56,26,0.4643,28,7,0.25,25,15,0.6,15,34,49,31,22,12,23,0,0,0,0,46.6667,51.5152,0.4632,0.4345,30.6122,69.3878,15.9292,8.1979,9.2226,16.0714,1.0476,65.125,54.2708,90.1765,89.1518,1.0247,0.3793,13.0769,0.9444,44.4444,97.5864,97.5864
2015-10-28,19:30,Regular,Mott,Rodney,Zarba,Zach,Roe,Eli,PHI,East,Atlantic,Away,Loss,240,0,95,12,24,11,6,22,84,34,0.4048,62,27,0.4355,22,7,0.3182,23,20,0.8696,15,32,47,26,14,27,28,0,0,0,0,53.4091,35.2941,0.5047,0.4464,32.6087,76.1905,20.3183,10.9543,5.9751,9.6774,1.131,56.375,46.9792,94.6053,111.5347,-16.9294,0.3656,9.2223,0.5,45.8333,BOS,East,Atlantic,Home,Win,240,0,112,31,17,10,7,23,85,39,0.4588,61,31,0.5082,24,8,0.3333,27,26,0.963,10,31,41,21,30,28,33,0,0,0,0,46.5909,79.4872,0.578,0.5059,24.3902,75.6098,14.928,9.9585,6.9709,11.4754,1.3176,90.875,75.7292,111.5347,94.6053,16.9294,0.4239,21.397,1.8235,58.8235,100.4172,100.4172
2015-10-28,19:30,Regular,Mott,Rodney,Zarba,Zach,Roe,Eli,BOS,East,Atlantic,Home,Win,240,0,112,31,17,10,7,23,85,39,0.4588,61,31,0.5082,24,8,0.3333,27,26,0.963,10,31,41,21,30,28,33,0,0,0,0,46.5909,79.4872,0.578,0.5059,23.8095,67.3913,14.928,9.9585,6.9709,11.4754,1.3176,90.875,75.7292,111.5347,94.6053,16.9294,0.4239,21.397,1.8235,58.8235,PHI,East,Atlantic,Away,Loss,240,0,95,12,24,11,6,22,84,34,0.4048,62,27,0.4355,22,7,0.3182,23,20,0.8696,15,32,47,26,14,27,28,0,0,0,0,53.4091,35.2941,0.5047,0.4464,31.9149,68.0851,20.3183,10.9543,5.9751,9.6774,1.131,56.375,46.9792,94.6053,111.5347,-16.9294,0.3656,9.2223,0.5,45.8333,100.4172,100.4172
